lat,lon,psl
-89.05759162303664,0.0,-47.569508
-89.05759162303664,1.25,-47.600597
-89.05759162303664,2.5,-47.746216
-89.05759162303664,3.75,-47.822247
-89.05759162303664,5.0,-47.871426
-89.05759162303664,6.25,-47.930332
-89.05759162303664,7.5,-47.9649
-89.05759162303664,8.75,-47.9659
-89.05759162303664,10.0,-47.96272
-89.05759162303664,11.25,-47.95921
-89.05759162303664,12.5,-47.95638
-89.05759162303664,13.75,-47.952393
-89.05759162303664,15.0,-47.948772
-89.05759162303664,16.25,-47.944965
-89.05759162303664,17.5,-47.940277
-89.05759162303664,18.75,-47.93688
-89.05759162303664,20.0,-47.932186
-89.05759162303664,21.25,-47.92866
-89.05759162303664,22.5,-47.930897
-89.05759162303664,23.75,-47.94017
-89.05759162303664,25.0,-47.947765
-89.05759162303664,26.25,-47.95592
-89.05759162303664,27.5,-47.959522
-89.05759162303664,28.75,-47.97052
-89.05759162303664,30.0,-48.15573
-89.05759162303664,31.25,-48.375317
-89.05759162303664,32.5,-48.43056
-89.05759162303664,33.75,-48.426727
-89.05759162303664,35.0,-48.422344
-89.05759162303664,36.25,-48.418518
-89.05759162303664,37.5,-48.415356
-89.05759162303664,38.75,-48.41283
-89.05759162303664,40.0,-48.408207
-89.05759162303664,41.25,-48.40561
-89.05759162303664,42.5,-48.403107
-89.05759162303664,43.75,-48.524445
-89.05759162303664,45.0,-48.78766
-89.05759162303664,46.25,-48.842876
-89.05759162303664,47.5,-48.857365
-89.05759162303664,48.75,-48.864902
-89.05759162303664,50.0,-48.87332
-89.05759162303664,51.25,-48.913105
-89.05759162303664,52.5,-49.056427
-89.05759162303664,53.75,-49.20714
-89.05759162303664,55.0,-49.277225
-89.05759162303664,56.25,-49.28615
-89.05759162303664,57.5,-49.297943
-89.05759162303664,58.75,-49.307636
-89.05759162303664,60.0,-49.311665
-89.05759162303664,61.25,-49.316868
-89.05759162303664,62.5,-49.322205
-89.05759162303664,63.75,-49.325882
-89.05759162303664,65.0,-49.33006
-89.05759162303664,66.25,-49.330723
-89.05759162303664,67.5,-49.33077
-89.05759162303664,68.75,-49.33145
-89.05759162303664,70.0,-49.328354
-89.05759162303664,71.25,-49.32533
-89.05759162303664,72.5,-49.32432
-89.05759162303664,73.75,-49.321438
-89.05759162303664,75.0,-49.317486
-89.05759162303664,76.25,-49.311123
-89.05759162303664,77.5,-49.305492
-89.05759162303664,78.75,-49.29658
-89.05759162303664,80.0,-49.289684
-89.05759162303664,81.25,-49.28593
-89.05759162303664,82.5,-49.274933
-89.05759162303664,83.75,-49.266552
-89.05759162303664,85.0,-49.25392
-89.05759162303664,86.25,-49.24478
-89.05759162303664,87.5,-49.233307
-89.05759162303664,88.75,-49.21989
-89.05759162303664,90.0,-49.205288
-89.05759162303664,91.25,-49.19156
-89.05759162303664,92.5,-49.180035
-89.05759162303664,93.75,-49.170727
-89.05759162303664,95.0,-49.158634
-89.05759162303664,96.25,-49.14561
-89.05759162303664,97.5,-49.136326
-89.05759162303664,98.75,-49.120373
-89.05759162303664,100.0,-49.10556
-89.05759162303664,101.25,-49.09683
-89.05759162303664,102.5,-49.08607
-89.05759162303664,103.75,-49.074368
-89.05759162303664,105.0,-49.061825
-89.05759162303664,106.25,-49.05263
-89.05759162303664,107.5,-49.04369
-89.05759162303664,108.75,-49.0334
-89.05759162303664,110.0,-49.02385
-89.05759162303664,111.25,-49.010273
-89.05759162303664,112.5,-49.002552
-89.05759162303664,113.75,-48.987854
-89.05759162303664,115.0,-48.97137
-89.05759162303664,116.25,-48.95441
-89.05759162303664,117.5,-48.93536
-89.05759162303664,118.75,-48.924244
-89.05759162303664,120.0,-48.907406
-89.05759162303664,121.25,-48.889343
-89.05759162303664,122.5,-48.867874
-89.05759162303664,123.75,-48.845646
-89.05759162303664,125.0,-48.81935
-89.05759162303664,126.25,-48.787884
-89.05759162303664,127.5,-48.753437
-89.05759162303664,128.75,-48.71635
-89.05759162303664,130.0,-48.668873
-89.05759162303664,131.25,-48.63112
-89.05759162303664,132.5,-48.585056
-89.05759162303664,133.75,-48.53095
-89.05759162303664,135.0,-48.48686
-89.05759162303664,136.25,-48.434917
-89.05759162303664,137.5,-48.398556
-89.05759162303664,138.75,-48.361446
-89.05759162303664,140.0,-48.334858
-89.05759162303664,141.25,-48.31249
-89.05759162303664,142.5,-48.299564
-89.05759162303664,143.75,-48.297028
-89.05759162303664,145.0,-48.31368
-89.05759162303664,146.25,-48.32986
-89.05759162303664,147.5,-48.34331
-89.05759162303664,148.75,-48.369396
-89.05759162303664,150.0,-48.38387
-89.05759162303664,151.25,-48.401966
-89.05759162303664,152.5,-48.408276
-89.05759162303664,153.75,-48.41621
-89.05759162303664,155.0,-48.42624
-89.05759162303664,156.25,-48.4275
-89.05759162303664,157.5,-48.43115
-89.05759162303664,158.75,-48.422413
-89.05759162303664,160.0,-48.42236
-89.05759162303664,161.25,-48.414062
-89.05759162303664,162.5,-48.403103
-89.05759162303664,163.75,-48.38757
-89.05759162303664,165.0,-48.368027
-89.05759162303664,166.25,-48.3463
-89.05759162303664,167.5,-48.325577
-89.05759162303664,168.75,-48.30501
-89.05759162303664,170.0,-48.276722
-89.05759162303664,171.25,-48.24622
-89.05759162303664,172.5,-48.224102
-89.05759162303664,173.75,-48.195606
-89.05759162303664,175.0,-48.16226
-89.05759162303664,176.25,-48.128727
-89.05759162303664,177.5,-48.091114
-89.05759162303664,178.75,-48.05304
-89.05759162303664,180.0,-48.012165
-89.05759162303664,181.25,-47.972088
-89.05759162303664,182.5,-47.93669
-89.05759162303664,183.75,-47.891464
-89.05759162303664,185.0,-47.856373
-89.05759162303664,186.25,-47.8213
-89.05759162303664,187.5,-47.77919
-89.05759162303664,188.75,-47.743702
-89.05759162303664,190.0,-47.717052
-89.05759162303664,191.25,-47.68781
-89.05759162303664,192.5,-47.66218
-89.05759162303664,193.75,-47.637253
-89.05759162303664,195.0,-47.614273
-89.05759162303664,196.25,-47.596546
-89.05759162303664,197.5,-47.57585
-89.05759162303664,198.75,-47.557373
-89.05759162303664,200.0,-47.539627
-89.05759162303664,201.25,-47.52379
-89.05759162303664,202.5,-47.517975
-89.05759162303664,203.75,-47.50781
-89.05759162303664,205.0,-47.489025
-89.05759162303664,206.25,-47.472397
-89.05759162303664,207.5,-47.44638
-89.05759162303664,208.75,-47.416912
-89.05759162303664,210.0,-47.386974
-89.05759162303664,211.25,-47.375767
-89.05759162303664,212.5,-47.374676
-89.05759162303664,213.75,-47.37151
-89.05759162303664,215.0,-47.369717
-89.05759162303664,216.25,-47.36665
-89.05759162303664,217.5,-47.36185
-89.05759162303664,218.75,-47.35661
-89.05759162303664,220.0,-47.347233
-89.05759162303664,221.25,-47.338276
-89.05759162303664,222.5,-47.33371
-89.05759162303664,223.75,-47.320034
-89.05759162303664,225.0,-47.302334
-89.05759162303664,226.25,-47.284546
-89.05759162303664,227.5,-47.25826
-89.05759162303664,228.75,-47.213093
-89.05759162303664,230.0,-47.14641
-89.05759162303664,231.25,-47.118824
-89.05759162303664,232.5,-47.123363
-89.05759162303664,233.75,-47.126965
-89.05759162303664,235.0,-47.094967
-89.05759162303664,236.25,-47.022354
-89.05759162303664,237.5,-47.021793
-89.05759162303664,238.75,-47.021473
-89.05759162303664,240.0,-47.027893
-89.05759162303664,241.25,-47.04022
-89.05759162303664,242.5,-47.056156
-89.05759162303664,243.75,-47.07832
-89.05759162303664,245.0,-47.10193
-89.05759162303664,246.25,-47.127453
-89.05759162303664,247.5,-47.1546
-89.05759162303664,248.75,-47.17928
-89.05759162303664,250.0,-47.209534
-89.05759162303664,251.25,-47.2386
-89.05759162303664,252.5,-47.16989
-89.05759162303664,253.75,-47.05781
-89.05759162303664,255.0,-47.044083
-89.05759162303664,256.25,-47.039585
-89.05759162303664,257.5,-47.02509
-89.05759162303664,258.75,-47.04031
-89.05759162303664,260.0,-47.067524
-89.05759162303664,261.25,-47.095867
-89.05759162303664,262.5,-47.12346
-89.05759162303664,263.75,-47.152393
-89.05759162303664,265.0,-47.182068
-89.05759162303664,266.25,-47.210926
-89.05759162303664,267.5,-47.24106
-89.05759162303664,268.75,-47.271637
-89.05759162303664,270.0,-47.30305
-89.05759162303664,271.25,-47.32015
-89.05759162303664,272.5,-47.291275
-89.05759162303664,273.75,-47.277523
-89.05759162303664,275.0,-47.279903
-89.05759162303664,276.25,-47.273956
-89.05759162303664,277.5,-47.262287
-89.05759162303664,278.75,-47.19992
-89.05759162303664,280.0,-47.069706
-89.05759162303664,281.25,-47.089878
-89.05759162303664,282.5,-47.10976
-89.05759162303664,283.75,-47.128796
-89.05759162303664,285.0,-47.14809
-89.05759162303664,286.25,-47.16629
-89.05759162303664,287.5,-47.183186
-89.05759162303664,288.75,-47.199627
-89.05759162303664,290.0,-47.216366
-89.05759162303664,291.25,-47.232178
-89.05759162303664,292.5,-47.246494
-89.05759162303664,293.75,-47.26206
-89.05759162303664,295.0,-47.275806
-89.05759162303664,296.25,-47.28809
-89.05759162303664,297.5,-47.30243
-89.05759162303664,298.75,-47.31383
-89.05759162303664,300.0,-47.32718
-89.05759162303664,301.25,-47.33997
-89.05759162303664,302.5,-47.35208
-89.05759162303664,303.75,-47.363506
-89.05759162303664,305.0,-47.374237
-89.05759162303664,306.25,-47.384357
-89.05759162303664,307.5,-47.39473
-89.05759162303664,308.75,-47.403927
-89.05759162303664,310.0,-47.413715
-89.05759162303664,311.25,-47.422718
-89.05759162303664,312.5,-47.430832
-89.05759162303664,313.75,-47.44058
-89.05759162303664,315.0,-47.44813
-89.05759162303664,316.25,-47.45467
-89.05759162303664,317.5,-47.461338
-89.05759162303664,318.75,-47.468185
-89.05759162303664,320.0,-47.472866
-89.05759162303664,321.25,-47.48079
-89.05759162303664,322.5,-47.487736
-89.05759162303664,323.75,-47.492493
-89.05759162303664,325.0,-47.4962
-89.05759162303664,326.25,-47.498096
-89.05759162303664,327.5,-47.49249
-89.05759162303664,328.75,-47.49434
-89.05759162303664,330.0,-47.495087
-89.05759162303664,331.25,-47.494614
-89.05759162303664,332.5,-47.5013
-89.05759162303664,333.75,-47.50601
-89.05759162303664,335.0,-47.51591
-89.05759162303664,336.25,-47.52808
-89.05759162303664,337.5,-47.543606
-89.05759162303664,338.75,-47.555424
-89.05759162303664,340.0,-47.56631
-89.05759162303664,341.25,-47.573425
-89.05759162303664,342.5,-47.57428
-89.05759162303664,343.75,-47.574493
-89.05759162303664,345.0,-47.57658
-89.05759162303664,346.25,-47.568027
-89.05759162303664,347.5,-47.56779
-89.05759162303664,348.75,-47.565205
-89.05759162303664,350.0,-47.56606
-89.05759162303664,351.25,-47.56487
-89.05759162303664,352.5,-47.565983
-89.05759162303664,353.75,-47.56058
-89.05759162303664,355.0,-47.56217
-89.05759162303664,356.25,-47.562504
-89.05759162303664,357.5,-47.561016
-89.05759162303664,358.75,-47.56467
-88.1151832460733,0.0,-47.091427
-88.1151832460733,1.25,-47.118374
-88.1151832460733,2.5,-47.121815
-88.1151832460733,3.75,-47.12651
-88.1151832460733,5.0,-47.129868
-88.1151832460733,6.25,-47.132538
-88.1151832460733,7.5,-47.148388
-88.1151832460733,8.75,-47.190144
-88.1151832460733,10.0,-47.386612
-88.1151832460733,11.25,-47.676563
-88.1151832460733,12.5,-47.679317
-88.1151832460733,13.75,-47.67863
-88.1151832460733,15.0,-47.67615
-88.1151832460733,16.25,-47.675034
-88.1151832460733,17.5,-47.671234
-88.1151832460733,18.75,-47.667957
-88.1151832460733,20.0,-47.664104
-88.1151832460733,21.25,-47.660793
-88.1151832460733,22.5,-47.656155
-88.1151832460733,23.75,-47.65152
-88.1151832460733,25.0,-47.647198
-88.1151832460733,26.25,-47.641506
-88.1151832460733,27.5,-47.63782
-88.1151832460733,28.75,-47.63219
-88.1151832460733,30.0,-47.62584
-88.1151832460733,31.25,-47.620422
-88.1151832460733,32.5,-47.634106
-88.1151832460733,33.75,-47.716824
-88.1151832460733,35.0,-47.99185
-88.1151832460733,36.25,-48.12946
-88.1151832460733,37.5,-48.122528
-88.1151832460733,38.75,-48.224426
-88.1151832460733,40.0,-48.534267
-88.1151832460733,41.25,-48.585648
-88.1151832460733,42.5,-48.617138
-88.1151832460733,43.75,-48.64094
-88.1151832460733,45.0,-48.645603
-88.1151832460733,46.25,-48.769703
-88.1151832460733,47.5,-48.880444
-88.1151832460733,48.75,-48.93727
-88.1151832460733,50.0,-48.99576
-88.1151832460733,51.25,-49.04652
-88.1151832460733,52.5,-49.100048
-88.1151832460733,53.75,-49.19083
-88.1151832460733,55.0,-49.238995
-88.1151832460733,56.25,-49.252605
-88.1151832460733,57.5,-49.268467
-88.1151832460733,58.75,-49.285324
-88.1151832460733,60.0,-49.30475
-88.1151832460733,61.25,-49.325245
-88.1151832460733,62.5,-49.34712
-88.1151832460733,63.75,-49.36977
-88.1151832460733,65.0,-49.393906
-88.1151832460733,66.25,-49.41864
-88.1151832460733,67.5,-49.443996
-88.1151832460733,68.75,-49.469105
-88.1151832460733,70.0,-49.49402
-88.1151832460733,71.25,-49.51884
-88.1151832460733,72.5,-49.544876
-88.1151832460733,73.75,-49.57011
-88.1151832460733,75.0,-49.595734
-88.1151832460733,76.25,-49.62083
-88.1151832460733,77.5,-49.644943
-88.1151832460733,78.75,-49.66899
-88.1151832460733,80.0,-49.690968
-88.1151832460733,81.25,-49.712803
-88.1151832460733,82.5,-49.73361
-88.1151832460733,83.75,-49.75203
-88.1151832460733,85.0,-49.76866
-88.1151832460733,86.25,-49.78364
-88.1151832460733,87.5,-49.796818
-88.1151832460733,88.75,-49.806995
-88.1151832460733,90.0,-49.816998
-88.1151832460733,91.25,-49.824936
-88.1151832460733,92.5,-49.830242
-88.1151832460733,93.75,-49.834324
-88.1151832460733,95.0,-49.83495
-88.1151832460733,96.25,-49.8325
-88.1151832460733,97.5,-49.830322
-88.1151832460733,98.75,-49.829712
-88.1151832460733,100.0,-49.840107
-88.1151832460733,101.25,-49.84383
-88.1151832460733,102.5,-49.840626
-88.1151832460733,103.75,-49.83772
-88.1151832460733,105.0,-49.82192
-88.1151832460733,106.25,-49.79712
-88.1151832460733,107.5,-49.759045
-88.1151832460733,108.75,-49.708492
-88.1151832460733,110.0,-49.65888
-88.1151832460733,111.25,-49.62535
-88.1151832460733,112.5,-49.589157
-88.1151832460733,113.75,-49.550095
-88.1151832460733,115.0,-49.509136
-88.1151832460733,116.25,-49.46613
-88.1151832460733,117.5,-49.41812
-88.1151832460733,118.75,-49.36147
-88.1151832460733,120.0,-49.31244
-88.1151832460733,121.25,-49.259968
-88.1151832460733,122.5,-49.20612
-88.1151832460733,123.75,-49.148464
-88.1151832460733,125.0,-49.088367
-88.1151832460733,126.25,-49.022476
-88.1151832460733,127.5,-48.95306
-88.1151832460733,128.75,-48.880688
-88.1151832460733,130.0,-48.804775
-88.1151832460733,131.25,-48.726955
-88.1151832460733,132.5,-48.646454
-88.1151832460733,133.75,-48.563293
-88.1151832460733,135.0,-48.476257
-88.1151832460733,136.25,-48.38733
-88.1151832460733,137.5,-48.30907
-88.1151832460733,138.75,-48.31303
-88.1151832460733,140.0,-48.263813
-88.1151832460733,141.25,-48.201954
-88.1151832460733,142.5,-48.134937
-88.1151832460733,143.75,-48.060028
-88.1151832460733,145.0,-47.97659
-88.1151832460733,146.25,-47.88397
-88.1151832460733,147.5,-47.78943
-88.1151832460733,148.75,-47.68587
-88.1151832460733,150.0,-47.584087
-88.1151832460733,151.25,-47.487377
-88.1151832460733,152.5,-47.3794
-88.1151832460733,153.75,-47.275085
-88.1151832460733,155.0,-47.16942
-88.1151832460733,156.25,-47.062893
-88.1151832460733,157.5,-46.96377
-88.1151832460733,158.75,-46.866886
-88.1151832460733,160.0,-46.77403
-88.1151832460733,161.25,-46.680008
-88.1151832460733,162.5,-46.59924
-88.1151832460733,163.75,-46.525543
-88.1151832460733,165.0,-46.458424
-88.1151832460733,166.25,-46.395397
-88.1151832460733,167.5,-46.331753
-88.1151832460733,168.75,-46.27889
-88.1151832460733,170.0,-46.22301
-88.1151832460733,171.25,-46.168667
-88.1151832460733,172.5,-46.114933
-88.1151832460733,173.75,-46.055317
-88.1151832460733,175.0,-45.99518
-88.1151832460733,176.25,-45.937077
-88.1151832460733,177.5,-45.881744
-88.1151832460733,178.75,-45.823376
-88.1151832460733,180.0,-45.758987
-88.1151832460733,181.25,-45.683533
