month,lat,psl
2,58.90052356020942,101394.29185655384
2,59.84293193717278,101378.49042426156
2,60.785340314136135,101371.85205078142
2,61.727748691099464,101368.24704318577
2,62.67015706806282,101361.31613498233
2,63.61256544502618,101351.9359537756
2,64.55497382198953,101341.39211697
2,65.49738219895289,101326.5359157991
2,66.43979057591622,101317.58479817731
2,67.38219895287958,101293.56149631047
2,68.32460732984293,101249.45838758648
2,69.26701570680629,101188.03781467001
2,70.20942408376962,101123.15559895895
2,71.15183246073298,101056.00187174485
2,72.09424083769633,100991.27983940908
2,73.03664921465969,100927.00160047722
2,73.97905759162305,100869.70825195247
2,74.92146596858638,100818.60536024267
2,75.86387434554973,100772.42274305593
2,76.80628272251309,100727.99818250912
2,77.74869109947645,100690.3039008242
2,78.6910994764398,100660.70526801277
2,79.63350785340313,100639.8493109815
2,80.57591623036649,100625.74742296041
2,81.51832460732984,100630.67526584158
2,82.4607329842932,100621.35617404516
2,83.40314136125653,100592.82375759499
2,84.34554973821989,100546.18953450533
2,85.28795811518324,100491.26435004303
2,86.2303664921466,100445.44159613719
2,87.17277486910996,100414.26879882821
2,88.11518324607329,100397.84006076436
2,89.05759162303664,100394.40185546847
2,90.0,100400.24218749983
3,-90.0,100622.90049913179
3,-89.05759162303664,100531.19316948751
3,-88.1151832460733,100360.11612955805
3,-87.17277486910994,100212.26939561666
3,-86.2303664921466,100060.7862141928
3,-85.28795811518324,99920.33002387105
3,-84.3455497382199,99759.37456597228
3,-83.40314136125654,99606.40776909795
3,-82.46073298429319,99473.7054578994
3,-81.51832460732984,99369.19970703078
3,-80.57591623036649,99310.73385959232
3,-79.63350785340315,99291.81315104217
3,-78.69109947643979,99275.80145941865
3,-77.74869109947645,99222.71161566788
3,-76.80628272251309,99145.83737521751
3,-75.86387434554973,99045.32712131114
3,-74.92146596858639,98928.4008246531
3,-73.97905759162303,98830.94658745613
3,-73.03664921465969,98739.97696940073
3,-72.09424083769633,98649.34898545954
3,-71.15183246073298,98545.31412760424
3,-70.20942408376963,98427.40630425401
3,-69.26701570680629,98316.4650878906
3,-68.32460732984293,98220.47474500843
3,-67.38219895287958,98146.08604600652
3,-66.43979057591623,98089.7397189671
3,-65.49738219895288,98073.88387044317
3,-64.55497382198953,98100.64683702208
3,-63.61256544502618,98177.27666558116
3,-62.67015706806283,98292.94997829833
3,-61.72774869109948,98436.00971137147
3,-60.78534031413612,98601.87510850727
3,-59.84293193717278,98786.3923882373
3,-58.90052356020942,98984.97908528645
3,-57.95811518324607,99193.23011610283
3,-57.01570680628272,99407.37584092899
3,-56.07329842931937,99625.97347005231
3,-55.13089005235602,99846.02718098936
3,-54.18848167539267,100065.90334743896
3,-53.24607329842932,100283.27644856795
3,-52.303664921465966,100496.48695204026
3,-51.361256544502616,100702.392225477
3,-50.41884816753927,100898.2084147134
3,-49.47643979057592,101082.76706271638
3,-48.53403141361257,101254.00113932317
3,-47.59162303664922,101410.79169379311
3,-46.64921465968587,101551.82590060822
3,-45.70680628272251,101677.0617133253
3,-44.76439790575916,101784.95838758654
3,-43.82198952879581,101874.64887152718
3,-42.87958115183246,101946.62339952274
3,-41.93717277486911,102002.29359266456
3,-40.99476439790576,102039.21259223147
3,-40.05235602094241,102059.62033420101
3,-39.109947643979055,102066.06407335009
3,-38.167539267015705,102060.69683159738
3,-37.225130890052355,102043.17239040749
3,-36.282722513089006,102014.93028428784
3,-35.340314136125656,101978.22376844658
3,-34.397905759162306,101935.42550998334
3,-33.455497382198956,101887.53366427931
3,-32.5130890052356,101836.27134874176
3,-31.57068062827225,101781.81019422709
3,-30.6282722513089,101726.95844183957
3,-29.68586387434555,101672.97317165748
3,-28.7434554973822,101619.81268988668
3,-27.80104712041885,101568.35744900182
3,-26.8586387434555,101518.43996853346
3,-25.916230366492144,101468.55262586813
3,-24.9738219895288,101419.15719943534
3,-24.031413612565444,101371.88940429654
3,-23.0890052356021,101328.4221191409
3,-22.146596858638745,101285.58376736072
3,-21.204188481675388,101242.61021592845
3,-20.261780104712045,101204.1758083772
3,-19.31937172774869,101167.8178710939
3,-18.376963350785346,101133.7207031244
3,-17.43455497382199,101099.14957682267
3,-16.492146596858646,101067.62163628434
3,-15.54973821989529,101040.7578396271
3,-14.607329842931932,101022.05211045984
3,-13.66492146596859,101003.3111979172
3,-12.722513089005233,100984.10755750824
3,-11.78010471204189,100966.04277886292
3,-10.837696335078533,100952.10712348095
3,-9.89528795811519,100940.31808810825
3,-8.952879581151834,100930.6467013885
3,-8.010471204188477,100921.51063368008
3,-7.068062827225134,100913.45505099825
